neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Neighborhood highlights,40.71345,-73.94289,Entire home/apt,320.0,30,114,0.72,1,334
Neighborhood highlights,40.79999,-73.96338,Entire home/apt,122.0,31,312,1.91,2,312
,40.7203,-73.98424,Private room,513.0,4,91,0.53,1,310
Neighborhood highlights,40.61933,-74.03208,Entire home/apt,121.0,30,12,0.07,1,175
Neighborhood highlights,40.80592,-73.95172,Private room,53.0,30,35,0.27,1,25
,40.61943,-73.99232,Entire home/apt,106.0,30,38,0.22,1,29
,40.81553,-73.95438,Private room,91.0,30,36,0.22,1,38
,40.68788,-73.95014,Private room,,30,58,0.34,3,0
,40.7401,-74.00019,Entire home/apt,141.0,30,38,0.22,1,85
Neighborhood highlights,40.67319,-73.96804,Entire home/apt,150.0,30,19,0.11,1,364
,40.71085,-73.96672,Entire home/apt,182.0,30,11,0.06,1,328
Neighborhood highlights,40.61019,-74.06757,Entire home/apt,80.0,30,101,0.59,1,305
,40.78764,-73.97274,Entire home/apt,,30,114,0.67,1,12
,40.71584,-73.96355,Entire home/apt,,30,19,0.11,1,0
Neighborhood highlights,40.7573,-73.91488,Entire home/apt,275.0,2,549,3.21,1,280
Neighborhood highlights,40.80493,-73.94999,Private room,248.0,2,395,2.31,2,313
,40.7167,-73.95014,Entire home/apt,,30,94,0.54,1,0
Neighborhood highlights,40.68096,-73.94062,Entire home/apt,69.0,30,90,0.52,1,274
,40.68511,-73.91927,Private room,162.0,30,27,0.16,4,365
Neighborhood highlights,40.68563832502508,-73.92470229417086,Private room,161.0,30,92,0.54,1,364
,40.68098,-73.94023,Entire home/apt,,30,8,0.07,1,0
Neighborhood highlights,40.79147,-73.94629,Entire home/apt,145.0,30,128,0.75,4,53
,40.67144,-73.76501,Private room,,30,31,0.18,2,0
Neighborhood highlights,40.68518847176618,-73.94268839549034,Private room,108.0,3,573,3.37,1,62
,40.72113,-73.95658,Entire home/apt,,181,4,0.02,1,0
,40.70132,-73.90883,Private room,83.0,30,24,0.16,1,365
Neighborhood highlights,40.66386,-73.98519,Entire home/apt,288.0,30,39,0.23,1,215
Neighborhood highlights,40.71174,-73.95798,Private room,,31,57,0.46,1,351
Neighborhood highlights,40.67188,-73.95097,Entire home/apt,122.0,30,31,0.19,1,240
Neighborhood highlights,40.79864,-73.96209,Entire home/apt,310.0,31,190,1.1,1,335
Neighborhood highlights,40.68478,-73.9066,Private room,,30,61,0.41,1,0
,40.73756,-73.9535,Entire home/apt,428.0,1,73,0.43,29,60
,40.73756,-73.9535,Private room,428.0,1,12,0.07,29,41
,40.73756,-73.9535,Private room,513.0,1,9,0.05,29,60
Neighborhood highlights,40.74168,-74.00339,Private room,110.0,30,85,0.5,2,364
,40.75408,-73.97071,Entire home/apt,143.0,30,162,0.95,1,97
Neighborhood highlights,40.72113,-73.98442,Entire home/apt,180.0,30,123,0.72,1,224
Neighborhood highlights,40.70252,-73.98296,Entire home/apt,,30,40,0.26,1,0
Neighborhood highlights,40.77539,-73.91709,Entire home/apt,250.0,30,57,0.34,1,335
Neighborhood highlights,40.8666,-73.90061,Private room,44.0,30,121,0.78,3,1
,40.68927,-73.95439,Private room,177.0,2,294,1.73,1,352
Neighborhood highlights,40.73693,-73.98129,Entire home/apt,,30,5,0.03,1,0
,40.73756,-73.9535,Entire home/apt,428.0,1,36,0.21,29,60
,40.73756,-73.9535,Private room,319.0,1,14,0.1,29,0
,40.73756,-73.9535,Hotel room,381.0,1,35,0.22,29,60
,40.73756,-73.9535,Private room,590.0,1,5,0.03,29,0
Neighborhood highlights,40.71134819720268,-73.95338679325236,Private room,93.0,30,52,0.46,2,152
Neighborhood highlights,40.69101,-73.95018,Entire home/apt,229.0,4,306,1.81,1,280
Neighborhood highlights,40.72032,-73.99462,Entire home/apt,495.0,30,26,0.15,2,305
Neighborhood highlights,40.68278,-73.95549,Entire home/apt,,30,43,0.25,1,215
,40.74024,-74.00584,Entire home/apt,,30,55,0.33,1,0
,40.74642,-74.00411,Entire home/apt,,365,9,0.06,1,0
,40.81847,-73.94623,Private room,,30,143,1.13,1,0
Neighborhood highlights,40.69913,-73.93107,Private room,95.0,30,41,0.26,1,364
Neighborhood highlights,40.85099,-73.92822,Private room,,60,4,0.03,1,0
